"","idn","used","elkuid","migrant","migcode","year","daynight","Night","season","bioseason","utmx","utmy","elevgis","slope","northsl","flatslo","southsl","caspv","v23","celev","v25","hshade2","wetness","green","distdiv","landcov","landtype","totalshrub","totalforb","totalherb","ctotrisk","ctotrisk2","riskforage","for2","risk2","elkuidF"
"46",26991,1,73,"Migrant",1,2004,"Day",0,"summer","s04",546887,5709053,2034,32.74,1,0,0,5,10,5,10,56,9.32,9,4.05,8,"Shrubs",0,51,86,0.00016895,2.85e-08,0.0145301,7396,2.85e-08,"73"
"47",18521,1,73,"Migrant",1,2004,"Night",1,"summer","s04",546774.7,5708525,2158,18.02,1,0,0,6,10,4,10,123,12.31,10,3.98,8,"Shrubs",553,57,95,0.00038464,1.48e-07,0.036541,9025,1.48e-07,"73"
"48",15471,1,93,"Migrant",1,2004,"Day",0,"summer","s04",590870.5,5705844,2373,28.63,0,0,1,7,10,5,10,207,9.8,7,37.66,13,"Burn-Grassland",18,67,92,0.00419041,1.76e-05,0.3855181,8464,1.76e-05,"93"
"49",27325,1,73,"Migrant",1,2004,"Day",0,"summer","s04",547063.9,5709351,1873,21.88,1,0,0,2,10,4,10,100,10.48,9,4.24,8,"Shrubs",0,53,95,0.00048449,2.35e-07,0.0460265,9025,2.35e-07,"73"
"50",25910,1,73,"Migrant",1,2004,"Night",1,"summer","s04",545259.6,5713129,1858,15.6,1,0,0,2,10,3,11,130,10.85,9,3.86,8,"Shrubs",0,47,86,0.00064756,4.19e-07,0.0556898,7396,4.19e-07,"73"
"51",13755,1,93,"Migrant",1,2004,"Day",0,"summer","s04",596559.7,5708198,2154,27.97,0,0,1,4,10,4,7,187,8.12,8,42.98,7,"Herbaceous",213,64,87,0.00236515,5.59e-06,0.2057684,7569,5.59e-06,"93"
"52",13832,1,93,"Migrant",1,2004,"Night",1,"summer","s04",596688,5708234,2131,32.51,0,0,1,4,10,4,7,166,9.65,8,43.08,7,"Herbaceous",255,62,87,0.0023993,5.76e-06,0.2087391,7569,5.76e-06,"93"
"53",12653,1,93,"Migrant",1,2004,"Night",1,"summer","s04",597970.6,5710227,2029,21.83,0,0,1,5,10,3,7,166,8.4,7,45.43,7,"Herbaceous",256,63,89,0.00457352,2.09e-05,0.4070433,7921,2.09e-05,"93"
"54",11279,1,93,"Migrant",1,2004,"Day",0,"summer","s04",600583.8,5716462,1881,19.79,0,0,1,6,10,4,10,172,10.22,8,51.95,7,"Herbaceous",236,59,87,0.00245068,6.01e-06,0.2132092,7569,6.01e-06,"93"
"55",18808,1,93,"Migrant",1,2004,"Day",0,"summer","s04",591020.7,5704543,2281,26.43,0,0,1,6,10,3,8,229,9.58,9,36.7,12,"Burn-Forest",147,70,92,0.004756,2.26e-05,0.4375516,8464,2.26e-05,"93"
"56",22174,1,59,"Migrant",1,2004,"Night",1,"summer","s04",576681.6,5737992,2134,18.53,0,0,1,7,10,2,8,160,8.99,8,43.94,7,"Herbaceous",257,64,89,0.00471011,2.22e-05,0.4191999,7921,2.22e-05,"59"
"57",13234,1,93,"Migrant",1,2004,"Day",0,"summer","s04",596415.3,5708124,2134,27.03,0,0,1,3,10,4,7,203,9.26,8,42.82,7,"Herbaceous",216,63,87,0.00269873,7.28e-06,0.2347898,7569,7.28e-06,"93"
"58",23895,1,93,"Migrant",1,2004,"Night",1,"summer","s04",596802.2,5711306,2079,27.41,0,0,1,7,10,3,6,243,9.4,8,45.55,7,"Herbaceous",191,67,93,0.00436612,1.91e-05,0.4060487,8649,1.91e-05,"93"
"59",21310,1,59,"Migrant",1,2004,"Night",1,"summer","s04",575712,5740094,2185,20.67,0,0,1,5,10,3,10,232,10.82,9,44.53,8,"Shrubs",419,65,95,0.00161964,2.62e-06,0.1538658,9025,2.62e-06,"59"
"60",18031,1,93,"Migrant",1,2004,"Day",0,"summer","s04",590533.4,5705698,2260,31.76,0,0,1,4,10,5,9,238,7.97,8,37.33,13,"Burn-Grassland",0,65,88,0.0044137,1.95e-05,0.3884058,7744,1.95e-05,"93"
"61",24149,1,93,"Migrant",1,2004,"Day",0,"summer","s04",597249.4,5709696,2133,30.41,0,0,1,4,10,4,7,138,8.02,8,44.58,7,"Herbaceous",275,70,95,0.00167337,2.8e-06,0.15897,9025,2.8e-06,"93"
"62",26281,1,93,"Migrant",1,2004,"Night",1,"summer","s04",606716.3,5720094,1782,27.62,0,0,1,4,10,4,6,242,8.54,9,58.62,7,"Herbaceous",0,61,90,0.00578323,3.34e-05,0.5204905,8100,3.34e-05,"93"
"63",25565,1,93,"Migrant",1,2004,"Night",1,"summer","s04",602392.1,5718355,1902,21.59,0,0,1,7,10,3,7,162,9.33,8,54.56,8,"Shrubs",0,61,92,0.0055231,3.05e-05,0.5081256,8464,3.05e-05,"93"
"64",13274,1,93,"Migrant",1,2004,"Day",0,"summer","s04",596579.8,5708188,2131,31.83,0,0,1,4,10,4,7,180,8.37,8,42.98,7,"Herbaceous",224,63,86,0.00160616,2.58e-06,0.1381301,7396,2.58e-06,"93"
"65",24732,1,93,"Migrant",1,2004,"Night",1,"summer","s04",602312.3,5718382,1938,20.02,1,0,0,7,10,3,8,145,10.29,8,54.53,8,"Shrubs",458,61,91,0.00609609,3.72e-05,0.5547442,8281,3.72e-05,"93"
"66",25586,1,93,"Migrant",1,2004,"Night",1,"summer","s04",602345.2,5718364,1928,20.63,0,0,1,7,10,3,8,149,8.47,8,54.55,8,"Shrubs",0,61,92,0.00578972,3.35e-05,0.5326539,8464,3.35e-05,"93"
"67",14100,1,56,"Migrant",1,2004,"Day",0,"summer","s04",571926.6,5715926,2020,28.26,1,0,0,2,10,5,10,97,10.55,8,26.85,7,"Herbaceous",340,59,87,0.00366895,1.35e-05,0.3191988,7569,1.35e-05,"56"
"69",9918,1,93,"Migrant",1,2004,"Day",0,"summer","s04",603624,5716361,1800,25.84,0,0,1,9,10,2,8,168,8.91,8,53.78,8,"Shrubs",403,60,95,0.00225117,5.07e-06,0.2138615,9025,5.07e-06,"93"
"70",17915,1,104,"Migrant",1,2004,"Night",1,"summer","s04",583324.8,5750091,2100,16.95,0,0,1,4,10,3,9,207,9.08,6,56.9,14,"Burn-Shrub",0,62,92,0.00600759,3.61e-05,0.5526983,8464,3.61e-05,"104"
"71",13287,1,104,"Migrant",1,2004,"Day",0,"summer","s04",580129.6,5751168,2210,25.28,0,0,1,10,10,4,9,239,9.49,6,55.21,13,"Burn-Grassland",76,83,93,0.00523153,2.74e-05,0.4865325,8649,2.74e-05,"104"
"72",25606,1,93,"Migrant",1,2004,"Night",1,"summer","s04",602379.8,5718387,1918,20.11,0,0,1,7,10,3,8,157,9.19,9,54.57,8,"Shrubs",0,61,92,0.00609614,3.72e-05,0.5608445,8464,3.72e-05,"93"
"75",13847,1,93,"Migrant",1,2004,"Night",1,"summer","s04",596663.9,5708185,2099,33.29,0,0,1,4,10,4,7,166,8.83,8,43.03,7,"Herbaceous",241,62,86,0.00237962,5.66e-06,0.2046472,7396,5.66e-06,"93"
"77",12824,1,93,"Migrant",1,2004,"Night",1,"summer","s04",597803.8,5710511,2092,19.29,1,0,0,5,10,4,7,127,8.54,8,45.57,7,"Herbaceous",276,65,90,0.00674872,4.55e-05,0.6073849,8100,4.55e-05,"93"
"78",25809,1,93,"Migrant",1,2004,"Night",1,"summer","s04",606846.1,5719827,1706,29.22,0,0,1,4,10,4,6,238,7.38,8,58.49,7,"Herbaceous",0,63,95,0.00269881,7.28e-06,0.2563868,9025,7.28e-06,"93"
"79",16043,1,73,"Migrant",1,2004,"Day",0,"summer","s04",544242.9,5713952,1961,30,1,0,0,2,10,4,12,68,10.68,9,3.81,8,"Shrubs",605,56,96,0.00062098,3.86e-07,0.0596136,9216,3.86e-07,"73"
"80",25830,1,93,"Migrant",1,2004,"Night",1,"summer","s04",606858.9,5719894,1744,20.88,0,0,1,3,10,4,6,231,8.45,8,58.56,7,"Herbaceous",0,62,93,0.00586055,3.43e-05,0.5450311,8649,3.43e-05,"93"
"81",16543,1,78,"Migrant",1,2004,"Night",1,"summer","s04",558752.9,5703729,2169,21.64,0,0,1,5,10,3,10,217,10.67,10,9.51,8,"Shrubs",441,59,96,0.00088534,7.84e-07,0.0849923,9216,7.84e-07,"78"
"82",15646,1,73,"Migrant",1,2004,"Day",0,"summer","s04",548235.1,5711578,1746,2.38,1,0,0,1,9,1,6,187,10.67,8,5.91,8,"Shrubs",534,46,95,0.00296921,8.82e-06,0.2820752,9025,8.82e-06,"73"
"83",15007,1,93,"Migrant",1,2004,"Night",1,"summer","s04",597805.4,5710506,2092,19.29,1,0,0,5,10,4,7,127,8.54,8,45.57,7,"Herbaceous",282,66,92,0.00674872,4.55e-05,0.6208823,8464,4.55e-05,"93"
"85",17620,1,93,"Migrant",1,2004,"Night",1,"summer","s04",586665,5704433,2100,3.52,1,0,0,7,10,2,7,176,15.59,9,34.13,8,"Shrubs",458,57,88,0.00586775,3.44e-05,0.5163621,7744,3.44e-05,"93"
"86",15649,1,73,"Migrant",1,2004,"Night",1,"summer","s04",548220.7,5711575,1746,2.38,1,0,0,1,9,1,6,187,10.67,8,5.91,8,"Shrubs",534,46,95,0.00310083,9.62e-06,0.2945788,9025,9.62e-06,"73"
"87",14598,1,93,"Migrant",1,2004,"Day",0,"summer","s04",597038.4,5711368,2187,14.12,0,0,1,9,10,3,6,217,9.28,8,45.75,7,"Herbaceous",218,69,93,0.00602709,3.63e-05,0.5605196,8649,3.63e-05,"93"
"88",25777,1,93,"Migrant",1,2004,"Night",1,"summer","s04",606829.4,5719843,1713,27.61,0,0,1,4,10,4,6,240,8.54,8,58.49,7,"Herbaceous",0,63,95,0.00317114,1.01e-05,0.3012585,9025,1.01e-05,"93"
"90",25818,1,93,"Migrant",1,2004,"Night",1,"summer","s04",606852.4,5719837,1721,26.97,0,0,1,4,10,4,6,237,7.47,8,58.51,7,"Herbaceous",0,63,95,0.00332902,1.11e-05,0.3162571,9025,1.11e-05,"93"
"91",22967,1,93,"Migrant",1,2004,"Night",1,"summer","s04",601404.9,5717377,1908,20.69,0,0,1,4,10,3,10,172,9.16,8,53.2,8,"Shrubs",380,56,86,0.00339869,1.16e-05,0.2922873,7396,1.16e-05,"93"
"92",13585,1,59,"Migrant",1,2004,"Day",0,"summer","s04",576780.6,5739502,2288,19.75,0,0,1,3,10,3,9,215,10.71,10,44.96,16,"Alpine-Shrubs",255,75,96,0.0015546,2.42e-06,0.1492415,9216,2.42e-06,"59"
"93",10153,1,93,"Migrant",1,2004,"Day",0,"summer","s04",603503.4,5716300,1809,28.97,0,0,1,9,10,2,7,188,8.08,8,53.66,8,"Shrubs",374,62,96,0.00161905,2.62e-06,0.1554287,9216,2.62e-06,"93"
"94",25965,1,93,"Migrant",1,2004,"Day",0,"summer","s04",606883.9,5720092,1811,21.95,0,0,1,4,10,4,6,220,8.8,8,58.71,7,"Herbaceous",0,60,90,0.0079112,6.26e-05,0.7120081,8100,6.26e-05,"93"
"95",14074,1,56,"Migrant",1,2004,"Day",0,"summer","s04",571933.8,5715916,2020,28.26,1,0,0,2,10,5,10,97,10.55,8,26.85,7,"Herbaceous",348,58,86,0.00366895,1.35e-05,0.3155298,7396,1.35e-05,"56"
"96",24142,1,93,"Migrant",1,2004,"Day",0,"summer","s04",597222.8,5709722,2157,28.89,0,0,1,4,10,4,7,133,7.39,8,44.58,7,"Herbaceous",271,71,96,0.00189367,3.59e-06,0.181792,9216,3.59e-06,"93"
"97",20084,1,104,"Migrant",1,2004,"Night",1,"summer","s04",584314.6,5750082,2110,8.48,0,0,1,6,10,2,9,204,9.8,7,57.62,12,"Burn-Forest",133,72,89,0.00764742,5.85e-05,0.6806208,7921,5.85e-05,"104"
"98",24456,1,93,"Migrant",1,2004,"Night",1,"summer","s04",597681.1,5710692,2139,19.13,1,0,0,6,10,5,7,125,7.86,8,45.63,8,"Shrubs",444,62,87,0.00560457,3.14e-05,0.4875977,7569,3.14e-05,"93"
"99",14612,1,93,"Migrant",1,2004,"Day",0,"summer","s04",597050.2,5711343,2194,12.64,0,0,1,9,10,3,6,210,8.29,8,45.77,7,"Herbaceous",210,69,93,0.0070135,4.92e-05,0.6522557,8649,4.92e-05,"93"
"100",21289,1,93,"Migrant",1,2004,"Night",1,"summer","s04",590990.5,5704660,2281,29.28,0,0,1,6,10,4,8,232,9.86,9,36.78,12,"Burn-Forest",155,72,96,0.0022052,4.86e-06,0.2116988,9216,4.86e-06,"93"
"101",26312,1,93,"Migrant",1,2004,"Night",1,"summer","s04",606604.8,5719770,1637,21.43,0,0,1,3,10,3,6,233,9.93,8,58.31,8,"Shrubs",0,52,87,0.00579168,3.35e-05,0.5038761,7569,3.35e-05,"93"
"102",25541,1,93,"Migrant",1,2004,"Night",1,"summer","s04",602362.8,5718416,1924,18.41,0,0,1,7,10,3,8,157,8.59,8,54.59,8,"Shrubs",0,62,93,0.00721804,5.21e-05,0.6712782,8649,5.21e-05,"93"
"103",25807,1,104,"Migrant",1,2004,"Night",1,"summer","s04",581604.6,5749486,2171,22.09,0,0,1,10,10,3,9,151,8.8,6,55.26,13,"Burn-Grassland",0,78,87,0.00593466,3.52e-05,0.5163152,7569,3.52e-05,"104"
"104",23796,1,93,"Migrant",1,2004,"Day",0,"summer","s04",597686.7,5710687,2139,19.13,1,0,0,6,10,5,7,125,7.86,8,45.63,8,"Shrubs",444,62,87,0.0059349,3.52e-05,0.5163358,7569,3.52e-05,"93"
"105",25571,1,74,"Migrant",1,2004,"Night",1,"summer","s04",603878.9,5727950,1711,4.26,0,1,0,3,10,1,6,167,9.39,9,60.58,5,"Mixed forest",0,63,86,0.0043976,1.93e-05,0.3781936,7396,1.93e-05,"74"
"106",27036,1,73,"Migrant",1,2004,"Night",1,"summer","s04",547065.8,5708588,2056,28.77,1,0,0,5,10,5,10,71,9.01,9,4.24,7,"Herbaceous",0,62,97,0.00019166,3.67e-08,0.0185911,9409,3.67e-08,"73"
"107",21347,1,96,"Migrant",1,2004,"Night",1,"summer","s04",575838.9,5740047,2211,28.51,0,0,1,3,10,3,10,244,10.5,9,44.58,16,"Alpine-Shrubs",220,77,97,0.00026246,6.89e-08,0.0254584,9409,6.89e-08,"96"
"108",26298,1,78,"Migrant",1,2004,"Night",1,"summer","s04",558798.5,5699947,1786,15.04,0,0,1,2,10,3,10,216,8.11,7,9.09,8,"Shrubs",0,55,97,0.00035876,1.29e-07,0.0347996,9409,1.29e-07,"78"
"109",10728,1,104,"Migrant",1,2004,"Night",1,"summer","s04",580157.8,5750960,2131,26.12,0,0,1,10,10,3,9,211,9.3,7,55.11,13,"Burn-Grassland",77,75,85,0.00262443,6.89e-06,0.2230769,7225,6.89e-06,"104"
"110",25800,1,93,"Migrant",1,2004,"Night",1,"summer","s04",606899.8,5719926,1761,17.44,0,0,1,3,10,4,6,218,9.9,8,58.62,7,"Herbaceous",0,58,89,0.00863713,7.46e-05,0.7687046,7921,7.46e-05,"93"
"111",20048,1,74,"Migrant",1,2004,"Night",1,"summer","s04",587331.3,5711901,2108,32.18,0,0,1,6,10,4,7,228,8.36,8,39.24,7,"Herbaceous",184,63,88,0.00796041,6.34e-05,0.700516,7744,6.34e-05,"74"
"112",22786,1,96,"Migrant",1,2004,"Day",0,"summer","s04",574639.4,5741181,2163,28.55,0,0,1,2,10,4,9,244,10.54,9,44.46,7,"Herbaceous",238,68,97,0.00071779,5.15e-07,0.0696257,9409,5.15e-07,"96"
"113",16506,1,93,"Migrant",1,2004,"Night",1,"summer","s04",596419.8,5708137,2148,23.73,0,0,1,3,10,4,7,206,9.23,8,42.84,7,"Herbaceous",236,62,87,0.00681985,4.65e-05,0.5933266,7569,4.65e-05,"93"
"114",12057,1,104,"Migrant",1,2004,"Day",0,"summer","s04",580139.4,5750948,2131,26.12,0,0,1,10,10,3,9,211,9.3,7,55.11,13,"Burn-Grassland",86,84,95,0.00549624,3.02e-05,0.5221429,9025,3.02e-05,"104"
"116",26069,1,78,"Migrant",1,2004,"Night",1,"summer","s04",558685.5,5699673,1721,13.82,0,0,1,2,10,3,9,217,10.91,9,9,8,"Shrubs",0,50,97,0.00114877,1.32e-06,0.1114311,9409,1.32e-06,"78"
"117",26321,1,78,"Migrant",1,2004,"Night",1,"summer","s04",558826.7,5699962,1793,14.05,0,0,1,3,10,2,10,214,8.18,9,9.12,8,"Shrubs",0,55,97,0.00124447,1.55e-06,0.1207136,9409,1.55e-06,"78"
"118",11394,1,93,"Migrant",1,2004,"Night",1,"summer","s04",600649.2,5716207,1796,22.75,0,0,1,5,10,3,10,186,10.66,8,51.79,7,"Herbaceous",208,55,84,0.00094623,8.95e-07,0.0794834,7056,8.95e-07,"93"
"120",23564,1,92,"Migrant",1,2004,"Day",0,"summer","s04",579762.4,5708506,2295,33.56,0,0,1,6,10,4,11,167,9.4,9,31.02,16,"Alpine-Shrubs",254,67,84,0.00099848,9.97e-07,0.0838719,7056,9.97e-07,"92"
